site_id,site_name,site_category,site_type,service,address,suburb,postcode,lhn_code,status,details,source
SAAS-598,MEADOWS STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,70-72 MAWSON ROAD,MEADOWS,5201,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-599,MENINGIE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,102 PRINCES HIGHWAY,MENINGIE,5264,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-600,MILLICENT STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,MOUNT GAMBIER ROAD,MILLICENT,5280,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-602,MINLATON STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 198 MAIN STREET,MINLATON,5575,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-632,MITCHAM STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,221 BELAIR ROAD,TORRENS PARK,5062,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-606,MOONTA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,7 RYAN STREET,MOONTA,5558,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-691,MORGAN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,FIRST STREET,MORGAN,5320,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-620,MT BARKER STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,21 MANN STREET,MOUNT BARKER,5251,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-665,MT GAMBIER STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,46 PENOLA ROAD,MOUNT GAMBIER,5290,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-666,MT PLEASANT STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,HOSPITAL ROAD,MOUNT PLEASANT,5235,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
